mercury,	-5.673486551269988E+07, -2.905807776472880E+07,  2.831471548856726E+06,  1.216453506755825E+01, -4.123145442643666E+01, -4.484987038755303E+00

venus,	1.083622101258184E+08,  5.186812728386815E+06, -6.182877404899519E+06, -1.818140449649583E+00,  3.482184715827766E+01,  5.820179514330701E-01

earth,	-2.501567084587771E+07,  1.449614303354543E+08, -4.572052182107447E+03, -2.983875373861814E+01, -5.188096364047718E+00,  6.015483423878356E-04

mars,	-1.779441811545570E+08,  1.720857121437973E+08,  7.974975344806875E+06, -1.592816222793181E+01, -1.535286664845714E+01,  6.941063066996438E-02

jupiter,	5.618693102760555E+08,  4.873208397145206E+08, -1.459719975820568E+07, -8.726239200005194E+00,  1.050134408937322E+01,  1.516725422243000E-01

saturn,	-1.337444663931718E+09, -5.564154174470043E+08,  6.292302081966633E+07,  3.182937571423137E+00, -8.932052113645893E+00,  2.868584793790476E-02

uranus,	2.997694194817737E+09,  1.804922548548801E+08, -3.816055494077772E+07, -4.661823625656938E-01,  6.488272195879693E+00,  3.019703710351451E-02

neptune,	3.892167245975556E+09, -2.234718394686053E+09, -4.366252691262390E+07,  2.663929645235901E+00,  4.753359491945842E+00, -1.597774946445975E-01
